frame,psnr_noisy,psnr_gaussian,psnr_median,psnr_restormer,ssim_noisy,ssim_gaussian,ssim_median,ssim_restormer
00000.png,20.64539183865746,27.940625684264244,26.28644308196334,32.27242183530643,0.36390470706451444,0.739269490924083,0.6860931588528022,0.889022621816301
00001.png,20.63896697877658,28.378347255559476,26.837482392056813,32.901770489875005,0.34381702706040257,0.7437775176022358,0.702458053657497,0.899243887072342
00002.png,20.639816530081056,28.262671897157944,26.71392608031312,32.73700486850126,0.35408826706580426,0.7450426661036031,0.6999517670099721,0.8952749624031359
00003.png,20.660166166049517,28.17980824742581,26.576065367677202,32.68617492477215,0.3587459018370289,0.744009813649633,0.6962630929258365,0.8939325814014536
00004.png,20.661996296254912,28.10167114826191,26.570900957180537,32.43748860660003,0.35685449714941253,0.7414463063211123,0.6926802507604736,0.8889949553190131
00005.png,20.667012031761608,28.207208920310435,26.639985792860593,32.65562470246443,0.3537977373303529,0.7443708067354396,0.6945303107820431,0.8948518457349474
00006.png,20.675592270009794,28.055490922988,26.466016431372456,32.5011407003534,0.35721330164146675,0.7408452471347532,0.6892634493883653,0.8926333861479954
00007.png,20.676027802875844,28.089156390195043,26.46220381448074,32.570229156771205,0.3573629510696466,0.7449846643628422,0.690679599589069,0.8966660253445927
00008.png,20.67884126972464,28.015209094332512,26.412772011772482,32.36690481103959,0.35748104457294644,0.7400116458634766,0.6857532364586455,0.8909116527036085
00009.png,20.680471157022723,28.244340114243307,26.69981581845412,32.693999891284335,0.3524649279275671,0.7444093843241322,0.6949211391990175,0.8968723175489336
00010.png,20.67138982037775,28.271459706310704,26.732393790149356,32.66759177000762,0.3501136261579214,0.744224875996637,0.695405094306472,0.8951098589408998
00011.png,20.669537345109397,28.32214756196963,26.793119455106233,32.75253422494685,0.3472371091888104,0.740899149142375,0.6948007954771716,0.8955368488715464
00012.png,20.648253108003118,28.235551599800147,26.764467642926867,32.605753742465716,0.35168289025547034,0.7409192438758839,0.6953687675895579,0.8920457967312565
00013.png,20.655466603574762,28.270076686452583,26.800092942721967,32.81029163203863,0.3521992674996846,0.7442325286194027,0.7003029750592845,0.8966530036264181
00014.png,20.65137282247607,28.236857220909926,26.684735629373648,32.75011211972691,0.3530688135875066,0.743419038159615,0.6949973472219056,0.8961198592011613
00015.png,20.66037910877267,28.30467190468748,26.72329244684075,32.859386981211934,0.3481603040977135,0.7426225310414569,0.6941525784090699,0.8980523450407905
00016.png,20.642282607509372,28.198542249013336,26.676108483168317,32.66108605334209,0.3440373333892546,0.7372936960951892,0.6917526679473361,0.8938225405925339
00017.png,20.64688643033974,28.200183617727973,26.666934688653118,32.74450549766944,0.3487910629319903,0.7416577862055526,0.6925794631571885,0.8950209952137226
00018.png,20.65933853792781,28.010823525151153,26.456888793430924,32.523019799104546,0.3575711985283891,0.7410422908766287,0.6873210346054114,0.8915812940390371
